# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
33  14.501626  11.219485  17.783767  20.176239  17.420182  22.932296  20.617584  17.617282  23.617886  5.119415  4.563091  5.675740  5.989237  4.553825  7.424650  5.951883  4.745396  7.158371
34  14.865243  11.540242  18.190245  20.437318  17.664920  23.209716  21.079945  18.085406  24.074484  5.447092  4.911788  5.982396  6.094692  4.532779  7.656605  6.102879  4.780911  7.424847
35  15.142920  11.678447  18.607392  20.700203  17.874229  23.526177  21.489066  18.449380  24.528752  5.601101  5.168611  6.033591  6.231698  4.657247  7.806149  6.192448  4.751283  7.633613
36  15.382456  11.912578  18.852333  21.148704  18.311335  23.986073  21.788200  18.638220  24.938180  5.617285  5.120213  6.114357  6.411969  4.844498  7.979440  6.411973  5.124661  7.699284
37  15.797128  12.266944  19.327311  21.666966  18.845606  24.488326  22.133518  18.952348  25.314688  5.882960  5.373322  6.392598  6.647043  4.941274  8.352812  6.577961  5.169985  7.985938
38  16.098311  12.466948  19.729674  22.248051  19.467850  25.028252  22.473036  19.350226  25.595846  5.989286  5.494577  6.483995  6.905311  5.075397  8.735226  6.736764  5.157773  8.315755
39  16.390697  12.794559  19.986835  22.865012  20.085711  25.644313  22.887249  19.702558  26.071940  5.976777  5.445175  6.508378  7.001500  5.209954  8.793046  7.039409  5.508565  8.570252
40  16.675198  13.100071  20.250324  23.398519  20.640443  26.156595  23.333624  20.080351  26.586897  6.188236  5.609948  6.766523  7.205949  5.360411  9.051487  7.393080  6.059816  8.726344
41  16.921791  13.243066  20.600517  23.886467  21.121494  26.651440  23.721459  20.358998  27.083920  6.684304  5.936061  7.432548  7.416264  5.478242  9.354286  7.569278  6.229865  8.908691
42  17.136450  13.429635  20.843265  24.293338  21.462406  27.124270  24.164880  20.696008  27.633752  6.950683  6.271523  7.629842  7.502671  5.669586  9.335756  7.665212  6.228033  9.102391
