# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
28  145.350000  142.114648  148.585352  139.810000  138.108853  141.511147  140.010000  138.257887  141.762113  153.390000  152.519425  154.260575  152.810000  151.230791  154.389209  152.890000  151.147043  154.632957
29  144.750000  141.493084  148.006916  139.100000  137.308353  140.891647  139.250000  137.393256  141.106744  153.230000  152.337195  154.122805  152.450000  150.879172  154.020828  152.400000  150.806262  153.993738
30  144.180000  140.835213  147.524787  138.560000  136.692810  140.427190  138.490000  136.538103  140.441897  152.790000  152.107431  153.472569  152.100000  150.478273  153.721727  151.830000  150.415398  153.244602
31  143.560000  140.215392  146.904608  138.010000  136.042794  139.977206  137.810000  135.723400  139.896600  152.130000  151.570447  152.689553  151.700000  150.078273  153.321727  151.400000  149.930306  152.869694
32  142.920000  139.518001  146.321999  137.460000  135.360381  139.559619  137.180000  134.942233  139.417767  151.640000  150.968882  152.311118  151.290000  149.681927  152.898073  151.090000  149.553153  152.626847
33  142.390000  139.016886  145.763114  136.950000  134.685602  139.214398  136.460000  134.058251  138.861749  151.330000  150.516919  152.143081  150.830000  149.217207  152.442793  150.650000  149.191405  152.108595
34  141.820000  138.395442  145.244558  136.370000  133.988173  138.751827  135.700000  133.232207  138.167793  150.860000  150.098160  151.621840  150.460000  148.784172  152.135828  150.280000  148.749771  151.810229
35  141.310000  137.758395  144.861605  135.780000  133.328144  138.231856  135.020000  132.486307  137.553693  150.490000  149.709039  151.270961  150.050000  148.362546  151.737454  149.990000  148.349909  151.630091
36  140.800000  137.236294  144.363706  135.070000  132.652336  137.487664  134.390000  131.744646  137.035354  150.240000  149.378374  151.101626  149.640000  147.934011  151.345989  149.570000  148.025623  151.114377
37  140.170000  136.575407  143.764593  134.220000  131.880855  136.559145  133.720000  131.066399  136.373601  149.820000  149.066608  150.573392  149.190000  147.320802  151.059198  149.190000  147.573244  150.806756
38  139.600000  135.923045  143.276955  133.390000  131.096989  135.683011  133.100000  130.444816  135.755184  149.490000  148.709039  150.270961  148.690000  146.752502  150.627498  148.800000  146.994453  150.605547
39  139.050000  135.372025  142.727975  132.540000  130.257808  134.822192  132.410000  129.696718  135.123282  149.240000  148.355466  150.124534  148.320000  146.381547  150.258453  148.260000  146.518621  150.001379
40  138.520000  134.830881  142.209119  131.750000  129.521211  133.978789  131.700000  128.934137  134.465863  148.790000  148.051150  149.528850  147.880000  145.888619  149.871381  147.710000  146.198081  149.221919
41  138.060000  134.292189  141.827811  130.950000  128.725702  133.174298  131.010000  128.155197  133.864803  148.120000  147.467620  148.772380  147.430000  145.355127  149.504873  147.300000  145.754038  148.845962
42  137.610000  133.815544  141.404456  130.210000  127.968148  132.451852  130.300000  127.393112  133.206888  147.610000  146.849803  148.370197  147.090000  145.054834  149.125166  146.940000  145.226407  148.653593
43  137.090000  133.337414  140.842586  129.550000  127.241862  131.858138  129.650000  126.719556  132.580444  147.280000  146.466612  148.093388  146.700000  144.643304  148.756696  146.430000  144.725565  148.134435
44  136.610000  132.849960  140.370040  129.020000  126.628431  131.411569  129.070000  126.042608  132.097392  146.780000  146.023958  147.536042  146.250000  144.136354  148.363646  145.900000  144.328377  147.471623
45  136.110000  132.318180  139.901820  128.600000  126.126137  131.073863  128.480000  125.354364  131.605636  146.120000  145.381353  146.858647  145.820000  143.668814  147.971186  145.480000  143.953697  147.006303
46  135.620000  131.706485  139.533515  128.220000  125.687886  130.752114  127.930000  124.673453  131.186547  145.580000  144.790317  146.369683  145.360000  143.298350  147.421650  145.120000  143.608180  146.631820
47  135.170000  131.225244  139.114756  127.800000  125.282064  130.317936  127.370000  123.979853  130.760147  145.240000  144.300639  146.179361  144.950000  142.836354  147.063646  144.870000  143.235038  146.504962
48  134.680000  130.660348  138.699652  127.310000  124.789306  129.830694  126.900000  123.422932  130.377068  144.970000  143.936027  146.003973  144.580000  142.312049  146.847951  144.640000  142.945775  146.334225
49  134.220000  130.114930  138.325070  126.840000  124.260388  129.419612  126.380000  122.907882  129.852118  144.750000  143.688162  145.811838  144.170000  141.854595  146.485405  144.240000  142.590030  145.889970
50  133.710000  129.542759  137.877241  126.230000  123.615215  128.844785  125.920000  122.523885  129.316115  144.490000  143.465354  145.514646  143.780000  141.505885  146.054115  143.840000  142.156432  145.523568
51  133.230000  128.971233  137.488767  125.630000  122.955472  128.304528  125.410000  122.045197  128.774803  144.070000  143.057528  145.082472  143.380000  141.022968  145.737032  143.510000  141.729579  145.290421
52  132.820000  128.476315  137.163685  125.020000  122.296106  127.743894  124.900000  121.536966  128.263034  143.820000  142.777119  144.862881  142.990000  140.575481  145.404519  143.100000  141.330819  144.869181
