# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
28  710.850000  707.538278  714.161722  709.200000  707.116733  711.283267  709.140000  706.903843  711.376157  721.280000  720.139123  722.420877  720.170000  718.526498  721.813502  720.630000  719.155856  722.104144
29  710.160000  706.722792  713.597208  708.610000  706.493895  710.726105  708.390000  706.127722  710.652278  721.140000  720.091000  722.189000  719.780000  718.121205  721.438795  720.070000  718.632954  721.507046
30  709.540000  705.977922  713.102078  707.860000  705.664459  710.055541  707.670000  705.269771  710.070229  720.670000  719.752885  721.587115  719.310000  717.644497  720.975503  719.500000  718.184705  720.815295
31  708.910000  705.240954  712.579046  707.060000  704.780439  709.339561  706.950000  704.482714  709.417286  720.050000  719.310068  720.789932  718.840000  717.168354  720.511646  719.140000  717.790778  720.489222
32  708.260000  704.432155  712.087845  706.310000  703.940633  708.679367  706.230000  703.642124  708.817876  719.470000  718.604494  720.335506  718.430000  716.737339  720.122661  718.760000  717.275951  720.244049
33  707.670000  703.763454  711.576546  705.690000  703.185225  708.194775  705.570000  702.889496  708.250504  719.140000  718.062781  720.217219  717.970000  716.270265  719.669735  718.400000  716.825198  719.974802
34  707.100000  703.034290  711.165710  705.170000  702.497716  707.842284  704.870000  702.064096  707.675904  718.920000  717.739492  720.100508  717.570000  715.807871  719.332129  717.980000  716.380125  719.579875
35  706.410000  702.197887  710.622113  704.660000  701.809667  707.510333  704.210000  701.283244  707.136756  718.560000  717.382545  719.737455  717.180000  715.317851  719.042149  717.450000  716.026097  718.873903
36  705.760000  701.419217  710.100783  704.100000  701.035689  707.164311  703.540000  700.424169  706.655831  718.050000  716.889181  719.210819  716.800000  714.918511  718.681489  717.110000  715.580981  718.639019
37  705.120000  700.638304  709.601696  703.420000  700.188344  706.651656  702.840000  699.591246  706.088754  717.720000  716.462383  718.977617  716.360000  714.475749  718.244251  716.800000  715.085357  718.514643
38  704.450000  699.873156  709.026844  702.640000  699.297785  705.982215  702.100000  698.754854  705.445146  717.490000  716.253109  718.726891  715.960000  714.000816  717.919184  716.320000  714.659398  717.980602
39  703.830000  699.061237  708.598763  701.830000  698.489177  705.170823  701.390000  697.958105  704.821895  717.100000  715.946744  718.253256  715.460000  713.508488  717.411512  715.840000  714.260633  717.419367
40  703.180000  698.175242  708.184758  700.970000  697.636968  704.303032  700.640000  697.157128  704.122872  716.640000  715.644812  717.635188  715.080000  713.061684  717.098316  715.410000  713.866659  716.953341
41  702.480000  697.342919  707.617081  700.100000  696.784883  703.415117  699.920000  696.419486  703.420514  716.030000  715.141687  716.918313  714.750000  712.723303  716.776697  714.930000  713.353580  716.506420
42  701.880000  696.729699  707.030301  699.330000  696.086375  702.573625  699.220000  695.651863  702.788137  715.450000  714.573929  716.326071  714.350000  712.284207  716.415793  714.560000  712.803185  716.316815
43  701.310000  696.083730  706.536270  698.610000  695.360708  701.859292  698.510000  694.831699  702.188301  715.150000  714.251390  716.048610  713.940000  711.848015  716.031985  714.310000  712.462326  716.157674
44  700.640000  695.343737  705.936263  697.880000  694.535512  701.224488  697.820000  694.139294  701.500706  714.910000  713.879515  715.940485  713.570000  711.480718  715.659282  713.910000  711.985968  715.834032
45  699.990000  694.566910  705.413090  697.200000  693.770714  700.629286  697.180000  693.461452  700.898548  714.710000  713.611865  715.808135  713.210000  711.188639  715.231361  713.450000  711.582515  715.317485
46  699.310000  693.751772  704.868228  696.550000  692.957299  700.142701  696.580000  692.829853  700.330147  714.390000  713.224710  715.555290  712.820000  710.818101  714.821899  712.990000  711.138001  714.841999
47  698.730000  693.043428  704.416572  695.940000  692.241838  699.638162  695.980000  692.195875  699.764125  714.070000  712.893097  715.246903  712.430000  710.418757  714.441243  712.610000  710.692215  714.527785
48  698.090000  692.241761  703.938239  695.290000  691.491856  699.088144  695.260000  691.375106  699.144894  713.610000  712.436160  714.783840  712.050000  710.068208  714.031792  712.280000  710.284605  714.275395
49  697.440000  691.506502  703.373498  694.670000  690.825380  698.514620  694.510000  690.604888  698.415112  713.190000  711.959594  714.420406  711.710000  709.688639  713.731361  711.880000  709.743274  714.016726
50  696.830000  690.758666  702.901334  694.010000  690.120283  697.899717  693.770000  689.790415  697.749585  712.820000  711.498032  714.141968  711.350000  709.414154  713.285846  711.510000  709.367595  713.652405
51  696.160000  689.991175  702.328825  693.300000  689.441244  697.158756  693.010000  688.964027  697.055973  712.540000  711.158551  713.921449  711.010000  709.063233  712.956767  711.080000  709.037061  713.122939
