# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
33  15.012003  11.410009  18.613996  16.954564  14.342502  19.566626  16.848395  13.991619  19.705171  4.245040  3.526881  4.963200  5.468018  3.938842  6.997193  4.948796  3.642028  6.255563
34  15.354238  11.603935  19.104542  17.099298  14.362885  19.835711  17.241905  14.277875  20.205935  4.190155  3.404457  4.975853  5.603939  4.014516  7.193362  5.087865  3.781331  6.394399
35  15.771471  11.882407  19.660535  17.292225  14.466654  20.117797  17.600844  14.511603  20.690085  4.296531  3.495585  5.097478  5.722151  4.014861  7.429440  5.342547  4.226276  6.458817
36  16.156657  12.186202  20.127111  17.545544  14.676538  20.414549  18.032158  14.729236  21.335080  4.596949  3.812171  5.381727  5.869046  4.185458  7.552634  5.403057  4.179210  6.626903
37  16.489321  12.376982  20.601660  18.002702  15.011212  20.994192  18.440994  15.045425  21.836562  4.660027  3.793497  5.526558  6.043404  4.424946  7.661862  5.426117  4.043093  6.809141
38  16.870392  12.691444  21.049340  18.512000  15.394744  21.629256  18.873765  15.399812  22.347718  4.602939  3.808141  5.397737  6.189418  4.477753  7.901084  5.640443  4.306574  6.974312
39  17.209681  12.831145  21.588217  18.985552  15.900427  22.070677  19.297522  15.736500  22.858544  4.737543  4.002412  5.472674  6.430419  4.705048  8.155789  5.867754  4.588223  7.147284
40  17.629520  13.021325  22.237714  19.604249  16.499092  22.709406  19.761420  16.182356  23.340484  4.890765  4.187892  5.593638  6.524565  4.751229  8.297901  5.990145  4.686704  7.293587
41  18.036500  13.320477  22.752522  20.205095  17.078985  23.331205  20.144222  16.544363  23.744081  5.220923  4.539297  5.902548  6.591977  4.792124  8.391830  6.171324  4.907955  7.434692
42  18.342473  13.653321  23.031625  20.694025  17.659931  23.728119  20.610041  16.899238  24.320844  5.536604  4.921694  6.151514  6.737878  4.914425  8.561331  6.221737  4.801542  7.641933
