# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
33  15.658407  11.774827  19.541987  22.654412  20.387003  24.921821  21.482620  18.679727  24.285513  5.916011  5.327167  6.504855  6.248500  4.634285  7.862715  6.654877  5.395587  7.914166
34  16.023536  12.037419  20.009653  23.201519  20.925810  25.477228  21.971596  19.045875  24.897317  6.096582  5.386389  6.806776  6.454696  4.704136  8.205257  6.901407  5.634856  8.167957
35  16.334683  12.266236  20.403130  23.707981  21.345701  26.070261  22.489437  19.445526  25.533348  6.316203  5.719182  6.913223  6.469128  4.758514  8.179741  7.208617  6.057403  8.359831
36  16.641929  12.427046  20.856813  24.285421  21.888906  26.681936  23.088560  20.019701  26.157419  6.619782  6.079561  7.160003  6.672104  4.944961  8.399246  7.376911  6.264404  8.489417
37  16.933757  12.528922  21.338592  24.849310  22.431405  27.267215  23.517972  20.401780  26.634164  6.929296  6.379368  7.479225  6.874781  5.086293  8.663269  7.379776  6.240423  8.519130
38  17.305114  12.788432  21.821797  25.398064  22.917277  27.878851  24.005060  20.883695  27.126425  6.980514  6.292545  7.668482  7.052287  5.222259  8.882314  7.467711  6.158283  8.777139
39  17.707133  13.223755  22.190511  25.916228  23.367637  28.464819  24.559317  21.370366  27.748268  6.862790  6.148702  7.576879  7.241862  5.380420  9.103304  7.650543  6.160055  9.141032
40  18.073175  13.488072  22.658279  26.588494  23.983791  29.193197  25.067682  21.796658  28.338706  6.827903  6.150739  7.505067  7.396309  5.472172  9.320446  7.867521  6.429355  9.305687
41  18.453624  13.820632  23.086615  27.147345  24.402152  29.892538  25.584306  22.323871  28.844741  6.904935  6.191094  7.618776  7.600141  5.693300  9.506983  8.229543  6.829152  9.629934
42  18.757872  14.059280  23.456464  27.592595  24.680510  30.504680  26.078166  22.809825  29.346507  7.176451  6.473463  7.879439  7.757910  5.725920  9.789901  8.486302  7.060716  9.911888
43  19.118046  14.300506  23.935586  28.082065  25.022870  31.141260  26.477875  23.147670  29.808080  7.545115  6.945596  8.144633  7.840972  5.811692  9.870252  8.708486  7.235870  10.181101
44  19.486081  14.664018  24.308144  28.587158  25.368308  31.806008  26.907619  23.566586  30.248652  7.752509  7.093170  8.411847  7.947365  5.948065  9.946666  8.913368  7.433189  10.393547
45  19.821194  14.890910  24.751477  28.995679  25.634902  32.356456  27.298581  23.884881  30.712281  7.973461  7.252008  8.694913  8.127712  6.163610  10.091813  9.246273  7.769074  10.723471
46  20.206615  15.225608  25.187623  29.402614  25.877944  32.927284  27.787482  24.292600  31.282364  8.389526  7.621617  9.157435  8.383275  6.455876  10.310673  9.436321  7.928226  10.944416
47  20.511175  15.550355  25.471996  29.861066  26.210639  33.511493  28.190850  24.529882  31.851818  8.676357  7.954157  9.398556  8.521938  6.644992  10.398884  9.531759  7.987647  11.075871
48  20.864569  15.908837  25.820301  30.376146  26.647300  34.104992  28.699215  24.879477  32.518953  8.796236  8.048617  9.543855  8.685791  6.741715  10.629867  9.757341  8.101304  11.413377
49  21.108404  16.030835  26.185973  30.912599  27.049110  34.776088  29.157468  25.215900  33.099036  8.748099  7.936837  9.559361  8.856061  6.780161  10.931961  9.980925  8.192605  11.769244
50  21.437669  16.329338  26.546001  31.412287  27.459326  35.365248  29.702104  25.658738  33.745470  8.758930  7.914203  9.603658  9.029438  7.009489  11.049387  10.132521  8.327909  11.937132
51  21.718798  16.491586  26.946010  31.926280  27.898043  35.954517  30.231724  26.100788  34.362660  8.773813  7.895224  9.652403  9.131279  7.132914  11.129645  10.391863  8.710299  12.073427
52  21.956661  16.800767  27.112556  32.434089  28.338905  36.529273  30.741804  26.497025  34.986583  8.899501  8.089411  9.709591  9.242162  7.226637  11.257688  10.689223  8.972885  12.405561
53  22.251868  17.108384  27.395352  32.856394  28.680992  37.031796  31.214594  26.799277  35.629911  9.205569  8.437424  9.973714  9.390662  7.375397  11.405928  10.804319  9.032006  12.576633
54  22.528854  17.315336  27.742372  33.228582  28.993734  37.463430  31.766372  27.331789  36.200955  9.506481  8.785684  10.227277  9.598766  7.527920  11.669613  11.001214  9.254169  12.748260
55  22.844672  17.531327  28.158017  33.609234  29.237916  37.980552  32.245848  27.705106  36.786590  9.664305  8.963492  10.365118  9.723542  7.651285  11.795798  11.253296  9.536635  12.969957
56  23.143522  17.822506  28.464537  33.919454  29.534094  38.304814  32.650513  28.089699  37.211327  9.891641  9.165355  10.617926  9.836420  7.685379  11.987461  11.378681  9.724599  13.032764
57  23.432042  18.079688  28.784395  34.342795  29.896595  38.788995  33.123404  28.619166  37.627642  10.119043  9.366434  10.871653  9.937159  7.800237  12.074081  11.537138  9.914728  13.159548
58  23.662473  18.249813  29.075133  34.642062  30.194171  39.089953  33.537970  29.014189  38.061751  10.277808  9.527115  11.028501  10.051087  7.864159  12.238016  11.683873  10.066286  13.301460
59  23.968915  18.534770  29.403059  34.959431  30.439789  39.479073  33.960247  29.390466  38.530028  10.429133  9.684137  11.174129  10.159953  8.003743  12.316162  11.771998  10.203051  13.340946
60  24.280434  18.868659  29.692209  35.334036  30.847314  39.820758  34.303272  29.718398  38.888146  10.537601  9.738225  11.336977  10.314162  8.116331  12.511993  11.873420  10.314643  13.432196
61  24.510941  19.084466  29.937416  35.757435  31.218460  40.296410  34.668992  29.990970  39.347014  10.462939  9.681155  11.244723  10.506243  8.269326  12.743160  11.954267  10.338908  13.569626
62  24.863969  19.360605  30.367333  36.179428  31.638098  40.720758  35.050340  30.315299  39.785381  10.582588  9.863655  11.301522  10.786111  8.560034  13.012189  12.024581  10.413483  13.635679
63  25.166394  19.544998  30.787790  36.536182  31.967077  41.105287  35.406334  30.737420  40.075248  10.709321  10.053810  11.364831  10.992619  8.687735  13.297503  12.106178  10.446749  13.765606
64  25.437072  19.719562  31.154582  36.867484  32.274552  41.460416  35.720448  31.008650  40.432246  10.749815  10.035540  11.464090  11.029985  8.749154  13.310816  12.154407  10.459504  13.849311
65  25.679593  19.930905  31.428281  37.260295  32.713640  41.806950  36.128735  31.276673  40.980797  10.878587  10.157089  11.600084  11.132013  8.927025  13.337000  12.237319  10.523514  13.951124
66  25.989157  20.217534  31.760779  37.779601  33.224174  42.335028  36.522213  31.541115  41.503311  10.872211  10.125975  11.618446  11.273180  9.111165  13.435196  12.272596  10.596450  13.948742
67  26.337888  20.492280  32.183495  38.145918  33.542913  42.748923  36.955607  31.928064  41.983150  10.918633  10.190229  11.647037  11.295041  9.084439  13.505642  12.438871  10.733532  14.144210
68  26.501617  20.589356  32.413878  38.462005  33.805855  43.118155  37.364278  32.245999  42.482557  10.899974  10.131846  11.668101  11.503446  9.265974  13.740919  12.478298  10.640026  14.316571
69  26.734129  20.863375  32.604883  38.741155  34.020527  43.461783  37.719805  32.518518  42.921092  10.914757  9.996708  11.832805  11.668363  9.539566  13.797160  12.366955  10.542904  14.191005
70  26.911761  20.896153  32.927369  39.104853  34.252419  43.957287  38.127512  32.879468  43.375556  10.942667  10.058804  11.826529  11.884733  9.739827  14.029640  12.441696  10.615145  14.268246
71  27.088661  20.938917  33.238405  39.442137  34.571791  44.312483  38.402516  33.121379  43.683653  10.962089  9.988202  11.935977  11.998265  9.885596  14.110934  12.488885  10.598081  14.379689
72  27.350809  21.168143  33.533475  39.828618  35.008164  44.649072  38.758733  33.349875  44.167591  10.941762  9.903499  11.980025  12.001194  9.791648  14.210741  12.576961  10.799983  14.353940
73  27.613559  21.367826  33.859292  40.231467  35.400962  45.061972  39.038241  33.510574  44.565908  11.025573  9.920240  12.130906  12.037032  9.784833  14.289232  12.715485  10.896960  14.534010
74  27.898494  21.657477  34.139511  40.552564  35.758097  45.347031  39.364912  33.818342  44.911482  11.035481  9.861294  12.209669  12.175685  9.914580  14.436790  12.712003  10.770224  14.653782
75  28.149076  21.951443  34.346709  40.930361  36.128330  45.732392  39.784405  34.200500  45.368310  11.024582  9.776340  12.272825  12.343843  10.066715  14.620970  12.679053  10.802412  14.555695
76  28.380267  22.197016  34.563518  41.343396  36.527518  46.159274  40.247932  34.608988  45.886876  11.023791  9.766233  12.281348  12.468047  10.187893  14.748201  12.688992  10.785478  14.592505
77  28.564279  22.407378  34.721180  41.707045  36.787304  46.626786  40.639491  34.958254  46.320728  10.991557  9.684830  12.298283  12.603523  10.320332  14.886713  12.758169  10.843314  14.673024
78  28.764420  22.577090  34.951750  42.062704  37.029880  47.095528  40.994040  35.250347  46.737733  11.043207  9.764442  12.321972  12.739128  10.459829  15.018427  12.767516  10.811033  14.723999
79  28.966792  22.812940  35.120644  42.275587  37.177488  47.373686  41.356626  35.588755  47.124497  10.929868  9.587862  12.271874  12.930403  10.640785  15.220022  12.904207  10.885110  14.923303
80  29.220463  23.022387  35.418539  42.516947  37.448204  47.585690  41.662878  35.890477  47.435279  10.948735  9.567155  12.330315  13.183294  10.861851  15.504737  12.875472  10.805767  14.945177
81  29.465458  23.329310  35.601606  42.857416  37.718373  47.996459  42.038382  36.264227  47.812537  11.023713  9.577349  12.470076  13.380695  11.073647  15.687742  12.950848  10.807180  15.094515
82  29.649847  23.552348  35.747346  43.191391  37.985571  48.397211  42.384605  36.679690  48.089520  10.936701  9.447216  12.426185  13.595357  11.306120  15.884594  13.034930  10.916386  15.153473
83  29.853848  23.680133  36.027563  43.505516  38.351326  48.659706  42.831969  37.182613  48.481325  10.965918  9.477543  12.454293  13.672384  11.289830  16.054938  13.056733  10.903492  15.209974
84  30.104459  24.037022  36.171896  43.876619  38.732061  49.021177  43.332666  37.655129  49.010203  10.896820  9.424959  12.368681  13.707064  11.404182  16.009946  13.087550  10.859583  15.315517
85  30.338565  24.261231  36.415899  44.235013  38.999670  49.470356  43.733610  38.105026  49.362194  10.956962  9.407356  12.506569  13.859534  11.618773  16.100295  13.117969  10.873346  15.362592
86  30.573611  24.478131  36.669091  44.629677  39.387997  49.871357  43.986683  38.368963  49.604403  10.991151  9.363199  12.619104  13.966902  11.655164  16.278641  13.144631  10.843007  15.446254
87  30.680385  24.583603  36.777167  45.013401  39.736239  50.290563  44.306611  38.607430  50.005792  11.044533  9.298170  12.790895  14.113839  11.819968  16.407709  13.184553  10.920749  15.448358
88  30.909432  24.800258  37.018606  45.323615  40.004666  50.642564  44.540087  38.781056  50.299118  11.105318  9.235173  12.975462  14.207195  11.834273  16.580117  13.311619  11.086351  15.536888
89  31.092235  25.021186  37.163284  45.677872  40.421020  50.934724  44.924121  39.236153  50.612089  11.063869  9.138446  12.989292  14.234558  11.853285  16.615832  13.415444  11.052695  15.778193
90  31.335929  25.228400  37.443458  46.029235  40.762662  51.295808  45.288316  39.558806  51.017826  11.039529  9.051753  13.027304  14.255476  11.832031  16.678921  13.510922  11.064967  15.956878
91  31.671624  25.453234  37.890014  46.331544  41.022322  51.640766  45.659932  40.038600  51.281264  11.115659  9.132132  13.099186  14.390596  11.798826  16.982366  13.590600  11.072645  16.108555
92  31.924542  25.697833  38.151251  46.703152  41.364500  52.041804  46.024731  40.389893  51.659569  11.169059  9.157124  13.180994  14.542461  11.934636  17.150286  13.699288  11.206632  16.191945
93  32.105341  25.729486  38.481196  47.105791  41.638916  52.572666  46.392152  40.848445  51.935859  11.189601  9.169303  13.209898  14.647665  12.082488  17.212842  13.903877  11.432190  16.375564
94  32.282277  25.826013  38.738541  47.527552  41.977141  53.077963  46.802071  41.201750  52.402392  11.154694  9.134099  13.175289  14.803600  12.186408  17.420792  14.128670  11.675322  16.582018
95  32.474733  25.925860  39.023606  47.964228  42.326389  53.602067  47.140317  41.570302  52.710332  11.245123  9.252925  13.237320  14.825367  12.288215  17.362519  14.234608  11.792621  16.676595
96  32.719720  26.190130  39.249310  48.290186  42.644611  53.935761  47.499736  41.972622  53.026850  11.420145  9.399911  13.440379  14.975800  12.434147  17.517453  14.167957  11.710654  16.625260
97  32.907180  26.299043  39.515317  48.715241  43.051137  54.379345  47.880828  42.376655  53.385001  11.559899  9.567640  13.552159  15.150920  12.532617  17.769223  14.204703  11.724462  16.684943
98  32.982660  26.363592  39.601728  49.032141  43.257281  54.807001  48.192523  42.673919  53.711127  11.624286  9.558610  13.689962  15.248721  12.615849  17.881593  14.427933  11.967956  16.887910
99  33.186833  26.507853  39.865813  49.395357  43.645801  55.144913  48.522505  43.027953  54.017057  11.735990  9.667324  13.804656  15.391544  12.817524  17.965565  14.662779  12.212378  17.113181
100  33.408539  26.698564  40.118514  49.698572  43.922980  55.474164  48.829727  43.247870  54.411584  11.803750  9.746258  13.861242  15.522299  12.873216  18.171382  14.922422  12.447406  17.397438
101  33.702658  26.960173  40.445143  50.116967  44.225492  56.008442  49.095698  43.557833  54.633563  11.892610  9.834991  13.950229  15.596610  12.943526  18.249694  15.030062  12.589967  17.470157
102  33.957574  27.222338  40.692810  50.521802  44.637320  56.406284  49.348436  43.841881  54.854991  12.055474  9.983017  14.127931  15.785458  13.073272  18.497644  15.160550  12.691854  17.629247
103  34.157950  27.378805  40.937095  50.852533  45.046280  56.658786  49.627710  44.047297  55.208123  12.162796  10.153906  14.171686  15.921833  13.136786  18.706880  15.316880  12.832778  17.800982
104  34.345253  27.501655  41.188851  51.128401  45.361565  56.895237  49.858703  44.260386  55.457020  12.341281  10.408519  14.274044  16.098120  13.439714  18.756526  15.405415  12.887419  17.923411
105  34.604988  27.701552  41.508424  51.444344  45.725627  57.163061  50.164214  44.535894  55.792534  12.537052  10.729229  14.344875  16.268994  13.537717  19.000271  15.584945  13.032742  18.137148
106  34.785503  27.805221  41.765785  51.787014  46.147915  57.426113  50.409951  44.868955  55.950947  12.630133  10.856663  14.403603  16.330255  13.584410  19.076100  15.759789  13.260681  18.258897
107  34.926078  27.865701  41.986455  52.133837  46.523148  57.744526  50.795962  45.285156  56.306768  12.841706  11.060691  14.622721  16.401352  13.623477  19.179227  15.874998  13.481105  18.268891
108  35.107185  28.134042  42.080328  52.464151  46.876287  58.052015  51.176274  45.656557  56.695991  12.919066  11.264123  14.574009  16.399042  13.572237  19.225847  16.048305  13.577566  18.519044
109  35.234679  28.338643  42.130715  52.719141  47.128578  58.309704  51.497810  45.948514  57.047106  13.028678  11.362439  14.694917  16.522683  13.665180  19.380186  16.171969  13.815762  18.528176
110  35.492850  28.465282  42.520418  52.980924  47.371858  58.589990  51.719844  46.008469  57.431219  13.164865  11.510456  14.819274  16.734662  13.940362  19.528962  16.371131  14.087150  18.655112
111  35.676471  28.542734  42.810208  53.313847  47.685030  58.942664  51.963953  46.196753  57.731153  13.285784  11.696138  14.875430  16.869214  14.170898  19.567530  16.577781  14.201746  18.953816
112  35.913532  28.745000  43.082064  53.658184  48.146783  59.169585  52.215824  46.305450  58.126198  13.585201  12.012094  15.158308  17.015455  14.240291  19.790619  16.763608  14.388018  19.139198
113  36.105142  28.914119  43.296165  53.911479  48.413339  59.409619  52.533072  46.568193  58.497951  13.832145  12.312433  15.351857  17.221030  14.370580  20.071480  16.954404  14.583742  19.325066
114  36.282182  29.084133  43.480231  54.199043  48.679706  59.718380  52.758173  46.709300  58.807046  13.926595  12.382479  15.470711  17.253889  14.474308  20.033470  17.041119  14.578769  19.503469
115  36.502191  29.274471  43.729911  54.522028  48.953789  60.090267  53.062989  46.875489  59.250489  14.166371  12.638790  15.693952  17.393639  14.587728  20.199550  17.091804  14.624501  19.559107
116  36.705645  29.465954  43.945336  54.828841  49.274798  60.382884  53.294344  47.027856  59.560832  14.364284  12.906246  15.822322  17.537120  14.654338  20.419902  17.221293  14.676613  19.765973
117  36.796626  29.569751  44.023501  55.110993  49.441423  60.780563  53.499267  47.200434  59.798100  14.496262  13.069414  15.923110  17.705195  14.805535  20.604855  17.358982  14.806152  19.911812
118  36.910792  29.618887  44.202697  55.288347  49.601607  60.975087  53.660751  47.372854  59.948648  14.603887  13.156515  16.051259  17.757060  14.875766  20.638354  17.591628  15.034278  20.148978
119  37.107702  29.713066  44.502338  55.572126  49.850726  61.293526  53.822645  47.418419  60.226871  14.792282  13.427787  16.156777  17.753781  14.882136  20.625426  17.796053  15.179760  20.412346
120  37.250085  29.839755  44.660415  55.765855  50.070492  61.461218  54.053557  47.573296  60.533818  14.934337  13.581320  16.287354  17.819643  14.877504  20.761782  17.860972  15.216483  20.505461
121  37.404391  29.899622  44.909160  55.991571  50.233510  61.749632  54.249564  47.722077  60.777051  15.085941  13.805685  16.366197  17.885954  14.991719  20.780189  18.040383  15.348169  20.732597
122  37.541379  30.011454  45.071304  56.074837  50.307000  61.842674  54.490893  47.965677  61.016109  15.258842  13.874780  16.642904  18.083590  15.255030  20.912150  18.248252  15.585478  20.911026
