Seed is: 38
Number of samples is: 1000
Simulation name is: Simulation_1TV.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 165, 0, 5e-05
1, 0, 164, 0.763197, 0.029035
2, 0, 163, 1.7632, 0.041279
3, 0, 163, 1.34816, 0.086565
4, 0, 162, 2.34816, 0.095722
5, 0, 162, 1.93312, 0.106994
6, 0, 162, 1.7632, 0.132072
7, 0, 162, 1.59327, 0.161167
8, 0, 161, 2.35647, 0.169874
9, 0, 161, 1.98294, 0.198308
10, 0, 161, 1.6094, 0.206363
11, 0, 161, 1.45647, 0.222554
12, 0, 161, 1.30354, 0.230309
13, 0, 160, 2.06673, 0.24679
14, 0, 159, 2.82993, 0.258342
15, 0, 159, 2.4564, 0.268111
16, 0, 159, 2.08286, 0.276296
17, 0, 159, 1.92993, 0.295593
18, 0, 158, 2.69313, 0.308969
19, 0, 157, 3.69313, 0.317415
20, 0, 156, 4.45633, 0.33589
21, 0, 155, 5.21952, 0.379212
22, 0, 154, 5.98272, 0.387879
23, 0, 154, 5.60919, 0.396285
24, 0, 153, 5.96196, 0.41971
25, 0, 153, 5.47699, 0.428376
26, 0, 153, 5.32406, 0.444767
27, 0, 153, 5.54599, 0.460096
28, 0, 152, 6.30919, 0.500373
29, 0, 151, 7.07238, 0.522405
30, 0, 151, 6.69885, 0.533526
31, 0, 150, 7.05162, 0.542193
32, 0, 150, 6.56666, 0.560688
33, 0, 150, 6.41372, 0.581768
34, 0, 149, 7.41372, 0.598761
35, 0, 149, 6.99869, 0.607277
36, 0, 149, 6.82876, 0.617887
37, 0, 148, 7.59196, 0.626323
38, 0, 147, 8.35516, 0.634489
39, 0, 146, 9.11835, 0.671309
40, 0, 146, 8.70332, 0.693491
41, 0, 145, 9.05609, 0.707808
42, 0, 145, 8.57112, 0.751121
43, 0, 144, 9.57112, 0.768885
44, 0, 144, 9.15609, 0.792249
45, 0, 143, 10.1561, 0.801136
46, 0, 142, 10.9193, 0.848326
47, 0, 141, 11.9193, 0.857012
48, 0, 141, 11.5042, 0.880437
49, 0, 140, 12.5042, 0.889053
50, 0, 140, 12.0892, 0.917748
51, 0, 140, 11.9193, 0.939459
52, 0, 139, 12.6825, 0.960119
53, 0, 139, 12.2674, 0.980467
54, 0, 139, 11.8939, 0.99227
55, 0, 139, 11.5204, 1.009
56, 0, 139, 11.3505, 1.02917
57, 0, 139, 11.1975, 1.05476
58, 0, 138, 11.9607, 1.12266
59, 0, 137, 12.7239, 1.14837
60, 0, 136, 13.4871, 1.15792
61, 0, 135, 14.4871, 1.18163
62, 0, 135, 14.0721, 1.19062
