Seed is: 2
Number of samples is: 1000
Simulation name is: Simulation_4TV.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 112, 0, 6e-05
1, 0, 111, -0.232193, 0.039736
2, 0, 110, 1.11597, 0.065235
3, 0, 109, 2.11597, 0.085473
4, 0, 109, 1.70093, 0.128936
5, 0, 109, 1.531, 0.134236
6, 0, 108, 2.2942, 0.192056
7, 0, 107, 2.06201, 0.227714
8, 0, 106, 3.41017, 0.274734
9, 0, 105, 4.17337, 0.29895
10, 0, 104, 4.93656, 0.323757
11, 0, 103, 5.69976, 0.343795
12, 0, 102, 6.69976, 0.356579
13, 0, 102, 6.28472, 0.411183
14, 0, 102, 6.1148, 0.449897
15, 0, 101, 6.87799, 0.473051
16, 0, 101, 6.50446, 0.487228
17, 0, 101, 6.13093, 0.512737
18, 0, 101, 5.97799, 0.533086
19, 0, 101, 5.82506, 0.595484
20, 0, 100, 6.58826, 0.664065
21, 0, 99, 6.35607, 0.688892
22, 0, 98, 7.70423, 0.707548
23, 0, 98, 7.33069, 0.737495
24, 0, 98, 6.84573, 0.763054
25, 1, 97, 7.84573, 0.768113
26, 2, 97, 7.43069, 0.785817
27, 3, 97, 7.26077, 0.823469
28, 3, 96, 8.02396, 0.837145
29, 3, 96, 7.65043, 0.882271
30, 3, 95, 8.0032, 0.887561
31, 3, 95, 7.51824, 0.920874
32, 3, 94, 7.75958, 0.945932
33, 3, 94, 7.55504, 0.98703
34, 3, 94, 7.3505, 0.99246
35, 3, 93, 8.1137, 1.01388
36, 3, 92, 8.8769, 1.05246
37, 4, 91, 9.8769, 1.06278
38, 5, 91, 9.46186, 1.11187
39, 6, 91, 9.29193, 1.14537
40, 6, 90, 10.0551, 1.1691
41, 6, 90, 9.6816, 1.17402
42, 6, 90, 9.30806, 1.19829
43, 6, 89, 9.54941, 1.23715
44, 6, 89, 9.34487, 1.25659
45, 6, 89, 9.19193, 1.30699
46, 6, 88, 9.95513, 1.34854
47, 6, 87, 10.7183, 1.36519
48, 6, 86, 11.0711, 1.37477
49, 6, 86, 10.5861, 1.40743
50, 6, 86, 10.2126, 1.43447
51, 6, 86, 10.0081, 1.4395
52, 6, 86, 9.85513, 1.49564
53, 6, 85, 10.6183, 1.53964
54, 6, 85, 10.2448, 1.57374
55, 6, 85, 9.87126, 1.59245
56, 6, 85, 9.71833, 1.61325
57, 6, 85, 9.5654, 1.63349
58, 6, 85, 9.88043, 1.64973
59, 6, 85, 9.39547, 1.65461
60, 6, 85, 9.02194, 1.69464
61, 6, 85, 8.8174, 1.8447
62, 6, 84, 9.5806, 1.84951
63, 6, 83, 10.3438, 1.85452
64, 6, 82, 10.6966, 1.90345
65, 6, 82, 10.2116, 1.9654
66, 6, 82, 9.83807, 1.99876
67, 6, 82, 10.06, 2.02473
68, 6, 81, 10.8232, 2.08095
69, 6, 80, 11.5864, 2.12891
70, 6, 79, 12.3496, 2.13421
71, 6, 79, 11.9761, 2.16921
72, 6, 79, 11.6025, 2.24047
73, 6, 79, 11.4496, 2.25225
74, 6, 79, 11.2967, 2.25719
75, 6, 78, 12.2967, 2.27664
76, 6, 78, 11.8816, 2.33396
77, 6, 78, 11.7117, 2.33948
78, 6, 77, 12.4749, 2.36322
79, 6, 77, 12.1014, 2.40764
80, 6, 77, 11.7278, 2.43354
81, 6, 77, 11.5749, 2.47973
82, 6, 76, 11.8162, 2.48527
83, 6, 76, 11.6117, 2.51749
84, 6, 75, 12.3749, 2.53011
85, 6, 74, 13.1381, 2.58586
86, 6, 73, 13.9013, 2.62648
87, 6, 73, 13.5278, 2.66644
88, 6, 73, 13.1542, 2.69483
89, 6, 73, 13.0013, 2.73919
90, 6, 73, 12.8484, 2.76189
91, 6, 72, 13.6115, 2.77818
92, 6, 72, 13.238, 2.81744
93, 6, 72, 12.8645, 2.84093
94, 6, 72, 12.7115, 2.85907
95, 6, 72, 12.5586, 2.87674
96, 6, 72, 12.7632, 2.92377
97, 6, 72, 12.6794, 2.92896
98, 6, 71, 12.8691, 2.99247
99, 6, 71, 12.776, 2.99748
100, 6, 71, 12.5714, 3.03437
101, 6, 71, 12.4185, 3.1283
102, 6, 71, 12.308, 3.14717
103, 6, 71, 12.2242, 3.16553
104, 6, 70, 12.9874, 3.21816
105, 6, 69, 13.7506, 3.28403
106, 6, 68, 14.5138, 3.29488
107, 6, 67, 15.5138, 3.32096
108, 6, 67, 15.0988, 3.33212
109, 6, 67, 14.9288, 3.3969
110, 6, 66, 15.692, 3.40231
111, 6, 66, 15.3185, 3.4277
112, 6, 66, 14.945, 3.43297
113, 6, 66, 14.792, 3.44487
114, 6, 66, 14.6391, 3.47053
115, 6, 65, 14.4069, 3.55737
116, 6, 64, 15.7551, 3.60793
117, 6, 64, 15.3815, 3.64163
118, 6, 64, 14.8966, 3.66714
119, 6, 63, 15.6598, 3.74183
120, 6, 62, 15.4276, 3.7733
121, 6, 61, 16.7757, 3.78943
122, 6, 61, 16.4022, 3.82084
123, 6, 61, 15.9172, 3.82588
124, 6, 60, 15.6851, 3.88438
125, 6, 59, 17.0332, 3.90132
126, 6, 59, 16.6597, 3.90635
127, 6, 59, 16.1747, 3.92855
128, 6, 59, 16.0218, 3.99958
129, 7, 58, 17.0218, 4.03029
130, 8, 58, 16.6067, 4.0778
131, 9, 58, 16.4368, 4.08393
132, 9, 58, 16.2839, 4.11122
133, 9, 57, 17.0471, 4.15977
134, 9, 56, 16.8149, 4.16543
135, 9, 56, 16.7734, 4.20208
136, 9, 55, 18.4781, 4.24389
137, 9, 55, 18.1046, 4.26783
138, 9, 55, 17.5265, 4.30307
139, 9, 54, 18.5265, 4.30853
140, 9, 54, 18.1114, 4.32323
141, 9, 54, 17.9415, 4.35171
142, 9, 54, 17.7886, 4.3938
143, 9, 54, 17.6781, 4.41194
144, 9, 53, 18.4413, 4.42387
145, 9, 53, 18.0678, 4.44251
146, 9, 53, 17.984, 4.51307
147, 9, 53, 17.8735, 4.55763
148, 9, 53, 17.7897, 4.60162
149, 9, 52, 18.7897, 4.62998
150, 9, 52, 18.3746, 4.64715
151, 9, 52, 18.2047, 4.72248
152, 9, 51, 18.9679, 4.76233
153, 9, 51, 18.815, 4.79455
154, 9, 51, 18.662, 4.81361
155, 9, 51, 18.5515, 4.82843
