Seed is: 33
Number of samples is: 1000
Simulation name is: Simulation_4TV.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 112, 0, 5e-05
1, 0, 111, 0.763197, 0.142972
2, 0, 110, 1.7632, 0.162519
3, 0, 110, 1.34816, 0.211883
4, 0, 110, 1.17823, 0.217504
5, 0, 109, 1.94143, 0.242271
6, 0, 109, 1.5679, 0.247281
7, 0, 108, 1.92067, 0.25219
8, 0, 108, 1.43571, 0.266928
9, 0, 108, 1.28277, 0.278961
10, 0, 108, 1.07823, 0.309189
11, 0, 107, 1.84143, 0.342873
12, 0, 106, 2.60463, 0.351249
13, 0, 106, 2.2311, 0.383731
14, 0, 106, 1.85756, 0.411904
15, 0, 106, 1.70463, 0.438716
16, 0, 106, 1.5517, 0.4514
17, 0, 105, 2.31489, 0.495133
18, 0, 104, 3.07809, 0.550448
19, 0, 103, 4.07809, 0.581528
20, 0, 103, 3.66305, 0.586878
21, 0, 103, 3.49313, 0.62478
22, 0, 102, 4.25633, 0.65108
23, 0, 102, 3.88279, 0.670347
24, 0, 102, 3.50926, 0.700664
25, 0, 102, 3.35633, 0.71394
26, 0, 102, 3.20339, 0.7245
27, 0, 101, 2.9712, 0.729299
28, 0, 100, 4.31936, 0.776509
29, 0, 99, 5.08256, 0.781539
30, 1, 98, 6.08256, 0.786548
31, 2, 98, 5.66752, 0.816575
32, 3, 98, 5.49759, 0.869286
33, 3, 97, 6.26079, 0.877802
34, 3, 97, 5.88726, 0.916606
35, 3, 96, 6.24003, 0.958987
36, 3, 96, 5.75507, 1.01231
37, 3, 96, 5.60213, 1.01737
38, 3, 96, 5.39759, 1.02203
39, 3, 95, 6.16079, 1.04548
40, 3, 94, 6.92399, 1.09415
41, 4, 93, 7.92399, 1.09918
42, 5, 93, 7.50895, 1.12105
43, 6, 93, 7.33903, 1.15278
44, 6, 92, 8.10222, 1.2247
45, 6, 92, 7.72869, 1.26341
46, 6, 92, 7.35516, 1.2687
47, 6, 92, 7.20222, 1.30198
48, 6, 92, 7.04929, 1.307
49, 6, 91, 6.8171, 1.33295
50, 6, 90, 8.16526, 1.3385
51, 6, 89, 8.92846, 1.37083
52, 6, 88, 9.69165, 1.38391
53, 6, 88, 9.31812, 1.38864
54, 6, 88, 8.94459, 1.43203
55, 6, 88, 8.79165, 1.45199
56, 6, 88, 8.63872, 1.50223
57, 6, 88, 8.55492, 1.51218
58, 6, 87, 9.31812, 1.56814
59, 6, 86, 10.0813, 1.59177
60, 6, 85, 10.4341, 1.61548
61, 6, 85, 9.94912, 1.63013
62, 6, 85, 9.57559, 1.66048
63, 6, 85, 9.37105, 1.6928
64, 6, 85, 9.21812, 1.71623
65, 6, 84, 9.98132, 1.7244
66, 6, 84, 9.60778, 1.77369
67, 7, 84, 9.51467, 1.83934
68, 7, 84, 9.02971, 1.87665
69, 7, 83, 9.79291, 1.90857
70, 7, 82, 10.5561, 1.92499
71, 7, 82, 10.1826, 1.96555
72, 7, 82, 9.80904, 1.97918
73, 7, 81, 10.0504, 2.01657
74, 7, 81, 9.84584, 2.02162
75, 7, 81, 9.69291, 2.02675
76, 7, 80, 10.6929, 2.07474
77, 7, 80, 10.2779, 2.08609
78, 7, 80, 10.1079, 2.10577
79, 7, 79, 10.8711, 2.12877
80, 7, 79, 10.4976, 2.14849
81, 7, 79, 10.1241, 2.15388
82, 7, 79, 9.97114, 2.15886
83, 7, 79, 9.81821, 2.1925
84, 7, 79, 9.73441, 2.22951
85, 7, 79, 9.62391, 2.24621
86, 7, 78, 10.6239, 2.27869
87, 7, 78, 10.2089, 2.29728
88, 7, 78, 10.0389, 2.32753
89, 7, 77, 11.0389, 2.36982
90, 7, 77, 10.6239, 2.43362
91, 7, 77, 10.454, 2.44189
92, 7, 76, 11.2172, 2.48155
93, 8, 75, 12.2172, 2.48675
94, 9, 75, 11.8021, 2.52686
95, 10, 75, 11.6322, 2.5413
96, 10, 74, 12.3954, 2.56891
97, 10, 74, 12.0219, 2.60747
98, 10, 74, 11.6484, 2.63034
99, 10, 74, 11.4954, 2.64036
100, 10, 74, 11.3425, 2.71119
101, 10, 74, 11.2587, 2.75112
102, 10, 73, 12.0219, 2.77724
103, 10, 72, 12.7851, 2.82559
104, 10, 72, 12.4115, 2.83902
105, 10, 71, 13.1747, 2.85597
106, 10, 70, 13.9379, 2.87536
107, 10, 69, 14.9379, 2.91513
108, 10, 69, 14.5229, 2.92037
109, 10, 69, 14.353, 2.95045
110, 10, 68, 15.1162, 2.98456
111, 10, 68, 14.7426, 3.01606
112, 10, 67, 15.0954, 3.04106
113, 10, 67, 14.6105, 3.07297
114, 10, 67, 14.4575, 3.10401
115, 10, 67, 14.253, 3.1415
116, 10, 66, 15.0162, 3.19109
117, 10, 65, 15.7794, 3.20486
118, 10, 65, 15.4058, 3.23343
119, 10, 65, 15.0323, 3.24636
120, 10, 64, 15.2736, 3.27214
121, 10, 64, 15.0691, 3.28419
122, 10, 64, 14.9162, 3.29599
123, 10, 63, 14.684, 3.3139
124, 10, 62, 16.0321, 3.31924
125, 10, 62, 15.6586, 3.32462
126, 10, 62, 15.1736, 3.34219
127, 10, 62, 15.0207, 3.35516
