Seed is: 64
Number of samples is: 1000
Simulation name is: NoTvSim.sim
TimeStep, Distraction Rate, Missed States, Model Accuracy, Time (ms)
0, 0, 256, 0, 5e-05
1, 0, 255, 1, 0.029486
2, 0, 255, 0.584963, 0.060154
3, 0, 255, 0.415037, 0.087176
4, 0, 254, 1.17823, 0.101864
5, 0, 253, 1.94143, 0.125268
6, 0, 253, 1.5679, 0.147591
7, 0, 253, 1.19436, 0.2155
8, 0, 253, 1.04143, 0.261297
9, 0, 252, 1.80463, 0.311413
10, 0, 251, 1.57244, 0.346199
11, 0, 250, 2.9206, 0.414509
12, 0, 249, 3.9206, 0.479563
13, 0, 248, 3.6884, 0.54093
14, 0, 247, 5.03656, 0.617005
15, 0, 246, 5.79976, 0.632214
16, 0, 246, 5.38472, 0.661099
17, 0, 246, 4.89976, 0.680786
18, 0, 246, 4.81596, 0.796998
19, 0, 245, 5.16873, 0.833507
20, 0, 245, 4.68377, 0.855369
21, 0, 245, 4.19881, 0.930001
22, 0, 245, 4.02888, 1.01893
23, 0, 245, 3.82434, 1.05428
24, 0, 245, 3.45081, 1.10639
25, 0, 245, 3.34031, 1.12122
26, 0, 245, 3.28731, 1.14337
27, 0, 244, 4.0505, 1.16802
28, 0, 243, 4.8137, 1.18637
29, 0, 243, 4.44017, 1.25347
30, 0, 243, 4.06663, 1.26856
31, 0, 243, 3.9137, 1.32524
32, 0, 243, 3.76077, 1.34067
33, 0, 243, 3.60784, 1.39424
34, 0, 242, 4.60784, 1.44275
35, 0, 242, 4.1928, 1.4583
36, 0, 242, 4.09969, 1.51324
37, 0, 242, 3.92976, 1.54962
38, 0, 242, 3.89319, 1.58417
39, 0, 242, 3.68865, 1.61261
40, 0, 241, 4.45184, 1.62774
41, 0, 240, 5.21504, 1.68081
42, 0, 240, 4.84151, 1.7365
43, 0, 239, 5.60471, 1.76319
44, 0, 238, 6.3679, 1.79825
45, 0, 237, 7.1311, 1.86411
46, 0, 237, 6.75757, 1.8875
47, 0, 236, 7.11034, 1.93116
48, 0, 236, 7.42537, 1.94648
49, 0, 236, 6.8473, 1.99662
50, 0, 235, 7.6105, 2.05579
51, 0, 235, 7.23696, 2.117
52, 0, 235, 7.08403, 2.15293
53, 0, 234, 7.4368, 2.21251
54, 0, 234, 6.95184, 2.24691
55, 0, 234, 6.57831, 2.2851
56, 0, 234, 6.37377, 2.34019
57, 0, 234, 6.22084, 2.36457
58, 0, 233, 6.98403, 2.42858
59, 0, 232, 7.74723, 2.45744
60, 0, 232, 7.5943, 2.49787
61, 0, 232, 7.5105, 2.51369
62, 0, 232, 7.13696, 2.54819
63, 0, 232, 6.76343, 2.56337
64, 0, 232, 6.6105, 2.57896
65, 0, 232, 6.45757, 2.64205
66, 0, 231, 7.22076, 2.70003
67, 0, 230, 8.22076, 2.74967
68, 0, 230, 7.80573, 2.78955
69, 0, 230, 7.6358, 2.83689
70, 0, 229, 8.399, 2.86334
71, 0, 228, 9.1622, 2.92008
72, 0, 228, 8.78866, 2.96695
73, 0, 228, 8.41513, 2.98603
74, 0, 228, 8.2622, 3.0376
75, 0, 228, 8.10926, 3.11284
76, 0, 227, 8.87246, 3.18413
77, 0, 226, 9.63566, 3.22487
78, 0, 225, 10.3989, 3.25208
79, 0, 224, 11.3989, 3.30118
80, 0, 224, 10.9838, 3.3582
81, 0, 224, 10.8139, 3.38343
82, 0, 223, 11.5771, 3.40063
83, 0, 223, 11.2036, 3.47155
84, 0, 223, 10.83, 3.49965
85, 0, 222, 11.5932, 3.58289
86, 0, 221, 12.3564, 3.60261
87, 0, 220, 13.3564, 3.69357
88, 0, 220, 12.9414, 3.72593
89, 0, 220, 12.7715, 3.77444
90, 0, 219, 13.5347, 3.8666
91, 0, 219, 13.1611, 3.9425
92, 0, 219, 12.7876, 4.00615
93, 0, 219, 12.6347, 4.06929
94, 0, 219, 12.4817, 4.11788
95, 0, 219, 12.3979, 4.16132
96, 0, 218, 13.1611, 4.18762
97, 0, 217, 14.1611, 4.21377
98, 0, 217, 13.7461, 4.24202
99, 0, 217, 13.5762, 4.27727
100, 0, 216, 14.3394, 4.29333
101, 0, 215, 15.1025, 4.30921
102, 0, 214, 15.8657, 4.35036
103, 0, 213, 15.6336, 4.398
104, 0, 212, 16.9817, 4.41613
105, 0, 212, 16.6082, 4.4546
106, 0, 212, 16.1232, 4.47098
107, 0, 212, 15.9703, 4.4873
108, 0, 212, 15.7657, 4.52607
109, 0, 211, 15.5336, 4.54931
110, 0, 211, 15.492, 4.61999
111, 0, 210, 17.1968, 4.63642
112, 0, 210, 16.8232, 4.6646
113, 0, 210, 16.2451, 4.69081
114, 0, 210, 16.0922, 4.72899
115, 0, 209, 17.0922, 4.76474
116, 0, 209, 16.6772, 4.81423
117, 0, 209, 16.5072, 4.83014
118, 0, 209, 16.2438, 4.85623
119, 0, 208, 17.007, 4.89034
120, 0, 208, 16.6335, 4.90647
121, 0, 208, 16.2599, 4.92777
122, 0, 208, 16.107, 4.96292
123, 0, 208, 15.9541, 4.97887
124, 0, 207, 16.9541, 4.99785
125, 0, 206, 17.7173, 5.06255
126, 0, 206, 17.6242, 5.07879
127, 0, 206, 17.2506, 5.1304
128, 0, 205, 17.6034, 5.14675
129, 0, 205, 17.1184, 5.16501
130, 0, 205, 16.9655, 5.19807
131, 0, 205, 16.5505, 5.23553
132, 0, 205, 16.3459, 5.27716
133, 0, 205, 16.2621, 5.29535
134, 0, 205, 16.0922, 5.3372
135, 0, 205, 16.0084, 5.3533
136, 0, 204, 16.7716, 5.41011
137, 0, 203, 17.5348, 5.4481
138, 0, 203, 17.1613, 5.50547
139, 0, 202, 17.514, 5.52243
140, 0, 202, 17.0291, 5.55655
141, 0, 202, 16.9453, 5.58418
142, 0, 202, 16.8615, 5.6065
143, 0, 201, 17.6247, 5.62265
144, 0, 200, 18.3879, 5.67665
145, 0, 200, 18.0143, 5.70685
146, 0, 200, 17.6408, 5.73874
147, 0, 200, 17.4879, 5.78613
148, 0, 200, 17.3349, 5.8055
149, 0, 199, 18.0981, 5.83435
150, 0, 199, 17.8936, 5.85096
151, 0, 199, 17.7407, 5.86731
152, 0, 199, 17.6302, 5.89889
153, 0, 198, 18.6302, 5.91526
154, 0, 198, 18.2151, 5.95473
155, 0, 198, 18.0452, 6.03476
156, 0, 198, 17.9614, 6.05136
157, 0, 197, 18.7246, 6.09872
158, 0, 196, 19.4878, 6.17082
159, 0, 196, 19.1143, 6.20614
160, 0, 196, 18.7407, 6.28888
161, 0, 196, 18.5878, 6.34761
162, 0, 196, 18.4349, 6.37536
163, 0, 195, 19.4349, 6.43517
164, 0, 195, 19.0198, 6.48624
165, 0, 195, 18.8499, 6.50596
166, 0, 194, 19.6131, 6.54139
167, 0, 194, 19.2396, 6.56326
168, 0, 194, 18.866, 6.60827
169, 0, 194, 18.7131, 6.68632
170, 0, 194, 18.5602, 6.73309
171, 0, 194, 18.4764, 6.77497
172, 0, 194, 18.3926, 6.79578
173, 0, 193, 19.3926, 6.86809
174, 0, 193, 18.9775, 6.89522
175, 0, 193, 18.8076, 6.96121
176, 0, 193, 18.7145, 6.98976
177, 0, 192, 19.4777, 7.05044
178, 0, 191, 20.2409, 7.07435
179, 0, 191, 19.8674, 7.0911
180, 0, 191, 19.4938, 7.15863
181, 0, 191, 19.4349, 7.22426
182, 0, 191, 19.282, 7.28628
183, 0, 190, 19.5233, 7.33407
184, 0, 190, 19.3188, 7.3842
185, 0, 190, 19.2782, 7.4358
186, 0, 189, 20.0414, 7.45241
187, 0, 188, 20.8046, 7.5308
